streetAddress,city,state,zipcode,latitude,longitude,price,homeStatus,datePosted,description
4033 W Sherman St,Phoenix,AZ,85009,33.440712,-112.146866,285000.0,FOR_SALE,2023-08-23,"Great central location in Phoenix.  Only minutes from the I-10 and I-17.  This gem is fully remodeled from ceiling to floor.  New paint. New tile. New appliances and fixtures.   1 bed, 1 bath with spacious living room and formal dining room.  Lots of room in the backyard to entertain, play, relax, or even adding a future swimming pool. Extra storage room in the backyard. Spotless clean and move-in ready. Ideal starter home for a first time buyer and also the perfect rental (short term or long term).  Don't miss out on this great home!"
3446 E Fillmore St,Phoenix,AZ,85008,33.455154,-112.00652,300000.0,FOR_SALE,2023-07-03,"Great opportunity for someone to put in some sweat equity, vision & creativity and call this house their HOME....  A solid block 3 bed 1 bath house with a solid block detached 2 car garage with electricity, phone line & a bathroom at one time that could possibly be turned into a casita. Sits on a larger corner lot. Major items such as the plumbing was done in the kitchen and bathroom in 2008, the A/C & heating were completely done in 2018, the roof was completely done on the house in 2013 and the kitchen & bathroom were updated in 2008. Conveniently located close to freeways, the light rail and many eateries. So don''t miss out, as houses in this area don''t come on the market often and when they do, they go FAST!!!"
740 W Elm St Unit 266,Phoenix,AZ,85013,33.506912,-112.08503,275000.0,FOR_SALE,2023-08-03,"Spacious 2-bedroom, 2-bath end unit condo with a balcony, located in a gated community in the heart of prime Midtown Phoenix's Melrose district. This move-in ready residence has been freshly painted. The complex offers excellent amenities, including a pool, barbecue area, workout facility, and clubhouse. Investors will be delighted to know that short-term rentals are allowed by the HOA. With its convenient proximity to Uptown, Biltmore, and Downtown Phoenix, this condo is perfect for those who want to experience everything the city has to offer. Act quickly, as this opportunity won't be available for long!"
1631 W Roosevelt St,Phoenix,AZ,85007,33.458363,-112.094894,298900.0,FOR_SALE,2023-07-25,"This charming 2 bedroom 1 bath bungalow is located in the historic district just minutes from downtown Phoenix. This 1946 home was completely restored and remodeled in 2020, Full restoration included all new plumbing, including the sewer line, all new electrical, new subfloor where needed with new luxury vinyl flooring, completely new bathroom and kitchen. new roof,  The stone siding was restored. New AC unit and windows Large back yard for future growth, Zoned Multifamily so bring in a tiny house or build on for investment rental."
2030 W Monte Vista Rd,Phoenix,AZ,85009,33.471203,-112.103745,299999.0,FOR_SALE,2023-07-10,"Single Family Home 3 bedroom, 1 bath property and a bonus with a lot of potential. Just a few short minutes from Downtown Phoenix. SOLAR, SOLAR, SOLAR! Owned Solar panels for electricity savings. Huge backyard with RV gate."
4019 W Rancho Dr,Phoenix,AZ,85019,33.52215,-112.14553,299000.0,FOR_SALE,2023-03-20,"Adorable home waiting for you right here!  Just minutes from the I-17, I-10, and 101.  You'll be close too parks, shopping, restaurants, and more.  This home offers 3 spacious bedrooms and 2 baths, formal dining room, living room, and good sized eat-In kitchen.  Covered patio in the backyard and plenty of room to relax and entertain. This home is an ideal starter home for first time buyers and it also is a terrific rental.   Don't miss out on this one. Come take a look!"
16250 N 18th Pl,Phoenix,AZ,85022,33.63498,-112.042404,335000.0,FOR_SALE,2023-09-08,"Don't miss this Charming Northeast Phoenix neighborhood home with a Mountain View and a 1-car garage with RV gate on a peaceful large cul-de-sac lot! Step into a living room with vaulted ceilings. New wood-like flooring and plantation shutters, that open into a Large kitchen area that includes a Island, and eat in kitchen. The well sized bonus room with a double-door entry is perfect for a dedicated home office or a hobby space. Enjoy the split plan and unwind in the main bedroom, boasting a walk-in closet and a private bathroom for added comfort. The sliding glass doors off the dining area open to the expansive backyard, offering a covered patio, lush lawn, trees, and storage shed. The side yard can easily accommodate a large pool. Easy Access to the 101 and 51. This Home will not last!!"
3440 W Charter Oak Rd,Phoenix,AZ,85029,33.59809,-112.13364,325000.0,FOR_SALE,2023-09-08,"Centrally located home ready and waiting for you.  No HOA, newer roof - 2017, newer AC - 2019, exterior completely repainted, cooled shed. Solar is leased - payment is $98 a month and is in year 9 and grandfathered into Net Metering as long as buyer keeps the same APS rate plan. Call your favorite agent today!"
8113 W Weldon Ave,Phoenix,AZ,85033,33.489075,-112.23308,319900.0,FOR_SALE,2023-09-07,"Fully renovated 3 bedroom home, new kitchen, counter tops, new wood plank flooring, new dual pane windows, fresh interor/exterior paint, new doors, new water heater, new appliances, updated bathroom surround, vanity & all fixtures & hardware. Solid home overall, central AC, Fenced back yard, large patio, large laundry room off the 3rd bedroom could be converted to 2nd bathroom or Master suite. Priced to sell."
3814 S 54th Gln,Phoenix,AZ,85043,33.41315,-112.17747,325000.0,FOR_SALE,2023-09-06,"This meticulously refreshed home is nestled within the heart of the well-maintained community of Riverbend where the HOA  maintains your front yard and parks and play areas within the community. A blend of modern comfort and prime location. If you've been in search of a 3 bed 2.5 bath home with beautiful wood floors, stainless appliances, convenience of an upstairs laundry, primary bed. with large walk-in closet and dual sinks, your quest may have just reached its end. A spacious two-car garage offers direct access to your living space. As for the location, it's nothing short of ideal. Situated merely a brief 4 minute drive from the 202, you'll find yourself easily connected to major thoroughfares whether it's a quick commute to work or a weekend adventure your journey will be a breeze."
5218 N 41st Ave,Phoenix,AZ,85019,33.513504,-112.14691,324900.0,FOR_SALE,2023-09-06,"This beautiful home is priced to sell. It features an open floor plan with tile floors, granite kitchen counters, new bedrooms carpet, and fresh interior paint. There is a private carport and plenty of storage space. Enjoy the covered patio, security doors, blinds, and ceiling fans in every room. It is conveniently located near shopping, schools, and the freeway, just minutes from Grand Canyon University."
2820 W Missouri Ave,Phoenix,AZ,85017,33.51697,-112.12011,340000.0,FOR_SALE,2023-09-06,GREAT INVESTMENT OPPORTUNITY. NICE HOME WITH A LOT OF POTENTIAL. THE HOME NEEDS SOME UPDATING.  ACROSS THE STREET FROM GCU- GRAND CANYON UNIVERSITY!!GREAT RENTAL OR PRIVATE HOME.
2317 E Paradise Ln,Phoenix,AZ,85022,33.633137,-112.03249,325000.0,FOR_SALE,2023-09-05,"THIS CHARMING LITTLE COTTAGE IS A TRUE GEM, OFFERING 2 BEDROOMS AND 1 BATH ON A SPACIOUS, NO-HOA LOT. MANY UPDATES HAVE BEEN LOVINGLY ADDED, INCLUDING A NEWER ROOF, HVAC SYSTEM, WATER HEATER, ELECTRIC PANEL AND ENERGY-EFFICIENT ARGON-SEALED DUAL-PANE WINDOWS THROUGHOUT. THE ENCLOSED ARIZONA ROOM, COMPLETE WITH A WALL AC UNIT, ADDS VERSATILE LIVING SPACE. ADDITIONALLY, THIS HOME IS A BEACON OF ENERGY EFFICIENCY, FEATURING SOLAR PANELS WITH A REMARKABLY LOW, FIXED MONTHLY LEASE PAYMENT OF JUST $91.83 THROUGH TESLA * * WHILE THE HUGE BACKYARD IS AWAITING SOME TLC, WITH THE POOL CURRENTLY EMPTY, IT HOLDS IMMENSE POTENTIAL WITH A GENEROUSLY SIZED STORAGE SHED, MATURE SHADE TREES, ALL ENCIRCLED BY BLOCK WALLS FOR PRIVACY WITH A FANTASTIC VIEW OF LOOKOUT MOUNTAIN . . . THE HOME ITSELF HAS BEEN IMPECCABLY MAINTAINED, RADIATING A LIGHT AND BRIGHT AMBIANCE THROUGHOUT. THE KITCHEN IS A WELCOMING SPACE, WHILE THE PRIMARY BEDROOM BOASTS A SUBSTANTIAL WALK-IN CLOSET AND AN EN-SUITE BATH FEATURING AN UPDATED WALK-IN SHOWER ENCLOSURE. THE SECOND BEDROOM IS THOUGHTFULLY EQUIPPED WITH A SOLID WOOD DESK AND SHELVING, MAKING IT AN IDEAL GUESTROOM OR A PERFECT SETUP FOR ANYONE IN NEED OF A HOME OFFICE.

THE SELLER WENT THE EXTRA MILE BY ENCLOSING THE PATIO, TRANSFORMING IT INTO A DELIGHTFUL ARIZONA ROOM THAT PROVIDES EXTRA LIVING SPACE. TO ENSURE COMFORT YEAR-ROUND, THEY ALSO INSTALLED A WALL AC UNIT, MAKING IT A VERSATILE AREA FOR RELAXATION AND ENJOYMENT.

THIS LITTLE CHARMER IS AN IDEAL CHOICE FOR BOTH INVESTORS AND FIRST-TIME HOMEBUYERS WHO RECOGNIZE THE INCREDIBLE POTENTIAL HELD WITHIN ITS BACKYARD SPACE * 
CLOSE TO GREAT SHOPS AND DINING * QUICK AND EASY ACCESS TO BOTH 51 & 101 FREEWAYS * NEARBY HIKING TRAILS, PARKS & GOLF * GREAT PV SCHOOL DISTRICT * LESS THAN 30MIN TO SKY HARBOR INTL AIRPORT * DO NOT MISS THIS LITTLE TREASURE * SEE IT TODAY!"
1006 W Saint Anne Ave,Phoenix,AZ,85041,33.38685,-112.08508,320000.0,FOR_SALE,2023-09-05,"Move in ready!  Come see this cute and freshly painted home. Offering 3 bedrooms and 2 baths, this home is ready for you! New HVAC, exterior paint and granite counter tops. North/south orientation. Tile throughout all main living areas. Low maintenance! Come see while it last."
1536 E Mountain View Rd,Phoenix,AZ,85020,33.57501,-112.04864,335900.0,PENDING,2023-08-28,"Exceptional value on this move-in ready mid-century ranch home with epic mountain views located just below the foothills in Sunnyslope. Classic floorplan features an open living room and dining room that overlook the rear yard. The kitchen opens to the living space and features a Mexican-tiled breakfast bar, gas range/oven, two-tone cabinetry and easy-care tile flooring. The primary suite has a private bath and huge walk-in closet/sitting area with picture window. There are 2 secondary bedrooms and a BONUS 11' x 8' detached den/office off the back patio with private rear access entry door and wall AC unit (this is not included in 1,289 square feet!). Hall bathroom has tiled floors, pedestal sink and cultured marble tub/shower surround. Bring the cars and toys! There is a tandem 2 car garage with storage shelving, parking slab for 4 cars and side RV gate. Enjoy the surrounding mountain views from the front screened patio, rear gazebo and open brick patio. Outdoor enthusiasts will love the proximity to the Phoenix mountain preserve for hiking and mountain biking. Located in the highly-rated Sunnyslope High School District!"
4714 N 50th Ave,Phoenix,AZ,85031,33.506012,-112.16727,330000.0,FOR_SALE,2023-09-02,"Discover this remarkable 4-bed, 2-bath property. It features a spacious living room with appealing tile flooring, a formal dining area for gatherings, and a galley kitchen full of potential with white cabinets. The main suite includes a private bathroom. The sizable backyard offers a covered patio for peaceful mornings and abundant potential. Don't miss out - come take a look and seize this great opportunity!"
4810 N 56th Dr,Phoenix,AZ,85031,33.50877,-112.179855,349000.0,FOR_SALE,2023-09-02,"This house needs some TLC but the owner is willing to help with closing costs, the property is very well located, close to schools, hospital, shopping centers, churches and the freeway. Do not wait any longer, it is very easy to sho"
1821 S 63rd Dr,Phoenix,AZ,85043,33.430676,-112.19564,317500.0,FOR_SALE,2023-09-02,"Welcome to your dream home in the desirable Cypress Landing Community! This charming 3-bedroom, 2-bathroom residence, built in 2002, offers modern amenities & a cozy atmosphere.Well-maintained air conditioner that's only 9 years. Recent appliance upgrades make the kitchen a standout feature. The new stainless steel refrigerator and stove were added in the summer of 2021, complete with warranties. Dishwasher replaced in 2017. Batteryless electric fire detector, providing peace of mind. Families will appreciate the elementary school just around the corner.This home comes with the added security of a recently replaced roof, installed just last year w/ 30 year warranty. Exterior repainted last year! Well maintained, but needs full paint & carpet."
2539 N 37th Ave,Phoenix,AZ,85009,33.475986,-112.13871,349900.0,FOR_SALE,2023-09-02,"Discover this beautifully remodeled Phoenix home on a corner lot. Enjoy wood tile flooring, upgraded lighting, and a modern kitchen with stainless steel appliances. Three bedrooms offer ample space, while the bathroom features a tub and tiled shower combo. With a backyard ready for your personal touch and an outdoor shed for extra storage, this move-in-ready gem is waiting for you! Act now and make it yours today!"
3017 N 81st Dr,Phoenix,AZ,85033,33.48233,-112.23325,349900.0,FOR_SALE,2023-09-02,"Nicely appointed home located in a prime area of Phoenix.Updated kitchen with white cabinetry and stainless steel appliances. Open to the great room for easy entertaining. Wood look laminate throughout. Neutral color pallet. Freshly painted, new interior doors, hardware, and closet doors. New flooring in the bedrooms and kitchen. AC just serviced and ready for move in! Solid block construction. Large backyard perfect for a future pool  Close to everything including the 101, I-10, Westgate, malls, shopping, restaurants, and more!"
8003 W Minnezona Ave,Phoenix,AZ,85033,33.50178,-112.23165,330000.0,FOR_SALE,2023-09-01,"REMODELED!! Charming ranch style home.  House has gone thru a complete remodeled this summer 2023. Brand new roof, new wood like plank tile floors, new windows, baseboards, fresh paint inside and out. New kitchen cabinets, granite tops in kitchen and bathroom, New AC installed in 2022. Good size backyard with block fence on both sides. This won't last long!!!"
8638 N 8th St,Phoenix,AZ,85020,33.5638,-112.06424,315000.0,FOR_SALE,2023-09-01,"Welcome to a truly unique opportunity in the heart of Sunnyslope, North Phoenix, AZ! This never-before-listed home presents a chance to craft your dream oasis. Step inside with peace of mind - major updates including a newer roof, HVAC system with R-410A Refrigerant and a recently redone main sewer line set the stage for worry-free living. With only one owner and no HOA, the canvas is yours to create. Located just moments from the breathtaking Phoenix Mountain Preserves, this property offers not just a home, but a gateway to the great outdoors. You're minutes to the scenic trails of Dreamy Draw Recreation Area or Piestewa Peak. Indulge in the convenience of shopping and fine dining nearby, all within easy reach. Re-imagine the layout, modernize the kitchen and create living spaces that inspire. Seize this rare opportunity to own a piece of Sunnyslope's charm and make it your own. Whether you're an investor with an eye for potential or a homeowner with a dream, this property is ready to be shaped into something extraordinary."
2007 N 55th Dr,Phoenix,AZ,85035,33.46999,-112.178375,348000.0,FOR_SALE,2023-08-29,"You don't want to miss this very affordable 4 bedroom 2 bath home that is close to schools, shopping and Freeway access. Features new interior and exterior paint, new light fixtures, new bathrooms, roof is only 2 years old, new sliding door going into huge yard!  Home sits on a 8276 Square feet lot with many possibilities. As you walk into the covered patio you will find the 4th bedroom that has its own entrance and heated and cooled with same AC unit.  This home is a must see and will not last long!"
2435 W Papago St,Phoenix,AZ,85009,33.433796,-112.11232,314000.0,FOR_SALE,2023-08-27,"Welcome to this charming flip home nestled in the heart of Phoenix! This thoughtfully renovated residence presents an ideal opportunity for those seeking both comfort and modern living. Boasting 3 bedrooms and 1 bathroom, this meticulously redesigned home perfectly blends contemporary aesthetics and classic appeal. Welcome to this charming flip home nestled in the heart of Phoenix! This thoughtfully renovated residence presents an ideal opportunity for those seeking both comfort and modern living. Boasting 3 bedrooms and 1 bathroom, this meticulously redesigned home offers a perfect blend of contemporary aesthetics and classic appeal."
3136 N 37th Ave,Phoenix,AZ,85019,33.485317,-112.13889,330000.0,FOR_SALE,2023-08-08,Move in ready home in the heart of Phoenix. This home has 4 bedrooms 3 bathrooms and a spacious backyard!
4247 W Culver St,Phoenix,AZ,85009,33.46282,-112.15088,345000.0,FOR_SALE,2023-08-25,
2912 W Mckinley St,Phoenix,AZ,85009,33.457348,-112.12229,339900.0,FOR_SALE,2023-08-25,"this charming residence offers an array of appealing features, including a 3-bedroom, 2-bathroom layout, a tile floor, a separate kitchen, a guest room, a family room, and a one-car carport. Home is 1461 sqft living room, lot 6264.The marble kitchen countertop adds a touch of luxury to the home, while the light green interior paint creates an atmosphere of tranquility. With its spacious living space, ample lot size, and convenient location near the I17 freeway, this home presents an excellent opportunity for those seeking comfort, convenience, and a place to call their own. Don't miss out on the chance to make this delightful property your new home. As it is condition,"
1718 N 77th Gln,Phoenix,AZ,85035,33.466805,-112.22641,349900.0,FOR_SALE,2023-08-24,"Welcome to your beautiful, updated home in the Highly desirable community of Vinsanto.  Our Home has been updated with 2 new AC units, fresh interior paint, new carpeting in the home, new quartz countertops, and new matching stainless steel appliances.  This is a 3 story home w/ 2 bed and full bath on ground floor, Master suite on the middle floor w/ the great room & kitchen, and bedroom and full guest bath on the 3rd level.  The master suite features a full bath, dual sinks, private toilet room, private exit to patio, large garden style tub, and spacious walk-in closet.  The kitchen features new quartz countertops, white cabinets, breakfast bar, new stainless-steel sink, and great cabinet and countertop space.  This one is a must see!"
6531 N 41st Dr,Phoenix,AZ,85019,33.532417,-112.14774,340000.0,FOR_SALE,2023-08-24,
808 S 30th Dr,Phoenix,AZ,85009,33.43995,-112.12521,330000.0,FOR_SALE,2023-08-23,"COME AND VIEW THIS BEAUTIFUL 3 BEDROOM 1 BATHROOM HOME. AS YOU WALK IN YOU WILL NOTICE THE FRESH PAINT THROUGH OUT, NEW LAMINATE FLOORING, NEW COUNTER TOPS, NEW LIGHT FIXTURES AND CIELING FANS, OPEN FLOOR PLAN, SPLIT BEDROOM, NOT TO MENTION THE BACKYARD HAS SPACE FOR ALL YOUR TOYS. THIS BEAUTY IS CLOSE TO THE I-17 FREEWAY, NEAR SCHOOLS, SHOPPING CENTERS, RESTRUANTS AND ENTERTAINMENT ONLY 10 MINUTES AWAY FROM DOWNTOWN PHOENIX, DO NOT MISS OUT, SEE IT TODAY:)"
4217 N 106th Dr,Phoenix,AZ,85037,33.496506,-112.28918,319900.0,FOR_SALE,2023-08-21,"Recent updates include roof replacement, newer ac unit, dual pane windows, newer water heater and some wood laminate flooring. Property will need cash, hard money or renovation loan. Patio has wood rot and peeling paint.  Outside  has been stuccoed and painted.  Great location close to shopping, spring training and parks. No Hoa and low taxes make this the perfect starter home or investment property."
22 S 27th Dr,Phoenix,AZ,85009,33.447487,-112.11888,329900.0,FOR_SALE,2023-08-21,"Discover urban living at its finest in this fully renovated 3 bed, 2 bath home in central Phoenix. Spanning 1,350 sqft, this residence offers modern upgrades throughout. The gourmet kitchen, spacious bedrooms and open living area are truly captivating. Motivated sellers and vacant property mean a swift move-in. Embrace city living near dining, shopping, and entertainment. Don't miss this chance to own a prime slice of Phoenix!"
3607 W Marshall Ave,Phoenix,AZ,85019,33.517265,-112.13634,324900.0,FOR_SALE,2023-08-18,"Take advantage of this single-level home with an excellent location! Close to schools, restaurants, and more. Displaying a lush lawn, a swaying shade tree, and a carport space with an extended driveway. Be welcomed by the sizable living/dining room with ceiling fans and tile flooring, perfect for receiving guests. The kitchen is a cook's delight boasting stainless steel appliances, granite counters and backsplash, wood cabinetry, a walk-in pantry, and a breakfast nook with carport access. The generously sized bonus room is excellent for entertaining. Unwind after a long day in the perfectly-sized bedrooms! The vast backyard has a gazebo, a storage shed, a DIY seating area with a cozy fire pit, and lots of space for fun gatherings. What are you waiting for? This gem is the one!"
5218 S 12th Ave,Phoenix,AZ,85041,33.398506,-112.087585,345000.0,FOR_SALE,2023-08-16,"Property complete Remodeled, new Kitchen with Granite countertops, new tile, new carpet, paint inside and outside. New Block fence, Rv Gate. Huge lot.Tenant occupied need a 24hr notice to show."
6329 N 43rd Ave,Phoenix,AZ,85019,33.530083,-112.1511,359000.0,FOR_SALE,2023-08-09,"Rejuvenated Classic 3BR 2BA + Pool Freshly Painted, Updated Fixtures & Hardware. Tile Flooring Throughout! The kitchen features trending white cabinetry, stylish backsplash and a breakfast bar.  The main bedroom is complete w/ a private bathroom. The back patio is enclosed leading to the backyard with a pool. Close to dining, shopping and entertainment."
5909 W Elm St,Phoenix,AZ,85033,33.507526,-112.18698,349000.0,FOR_SALE,2023-08-09,"Fixer upper opportunity!! One remodeled bathroom and newer windows, property needs some TLC!"
500 W Siesta Way,Phoenix,AZ,85041,33.36545,-112.08088,335000.0,FOR_SALE,2023-08-03,"Opportunity to purchase residence on a .85 acre lot a few minutes' walk from South Mountain Park and Preserve. Plenty of space to renovate and extend current house or tear down and build custom (adjacent 550 W Siesta Way also available). No HOA so ideal live, work, play setup for contractor, hobby vehicle restoration, artist or someone with lots of large toys. Property needs lots of TLC from a buyer with vision."
4013 N 88th Ln,Phoenix,AZ,85037,33.49289,-112.24968,343000.0,FOR_SALE,2023-08-01,"BUYER COULDNT QUALIFY- YOUR WIN!! Single level home featuring 3 bedrooms, 2 bathrooms, and a freshly painted 2 car garage is calling you! Master suite has a walk-in closet. The kitchen has stainless steel appliances - refrigerator included! Large breakfast bar with pantry. Inside laundry room, washer and dryer included. Two full baths. Fans in every room. blinds. Neutral paint. Lots of storage. Backyard is a blank canvas to create your own personal oasis!  Close to the freeways I-10 and 101 . Close to a park, shopping and restaurants. DO IT YOUR WAY WITH NO HOA!!!!!"
1625 W North Ln,Phoenix,AZ,85021,33.459953,-112.14357,345900.0,FOR_SALE,2023-07-29,"This remarkable property boasts a recently installed roof that is less than 11 years old, as well as an A/C system that is no more than 7 years old. With brand-new windows and doors, and the added benefit of copper pipes. This gem is nestled in a serene and secure neighborhood. The  ongoing beautification project by the city, ensures that this area will only become more attractive and appealing in the future.Mechanic Box.code:AME."
3630 W Granada Rd,Phoenix,AZ,85009,33.469055,-112.1379,345000.0,FOR_SALE,2023-07-27,"Exceptional property with an attached guest house on a generous lot! Ample parking spaces on both sides of the property. The primary residence showcases a versatile layout perfectly flowing between the living, dining, & kitchen spaces, designer paint, 3 well-proportioned bedrooms, & a lovely bathroom. Cook delicious meals in the kitchen equipped with generous cabinetry space & SS appliances. The attached guest house is a unique bonus! Complete with its own kitchen, living room, bedroom, & bathroom; it offers perfect accommodation for guests or potential rental opportunities. Both homes have tile flooring throughout. Privately fenced backyard includes a storage shed, 2 covered patios, & an inviting firepit. Currently occupied by tenants. This is an amazing opportunity for investors!"
7959 W Meadowbrook Ave,Phoenix,AZ,85033,33.503143,-112.23112,329900.0,FOR_SALE,2023-06-20,"THIS WON'T LAST !!!!!  Home On Maryvale Terrace , Value ceiling and a huge great room. Ceramic Tile in all the right places , nice rock face wood burning fireplace in the living room. Great eat in the kitchen with tons of the storage. Three nice bedrooms and two nicely remodeled baths. Enclosed Garage with its own Roof mounted a/c heating unit not included in the sq.ft Allows for huge game room or 4th bedroom or great as a mother-in law set up. !!!"
3802 W Tuckey Ln,Phoenix,AZ,85019,33.53364,-112.14085,355000.0,FOR_SALE,2023-07-23,Wow! This house has 1960's retro architecture and AMAZING potential! 3 bedrooms & 2 bath w/ a 2 car garage. The front yard has a gated courtyard that leads to a double door entry & a wall of floor to ceiling windows. Through the front doors a formal sunk-in living room w/ a sliding door exit to the backyard. The eat-in kitchen and formal living room w/ a fireplace are to one side of the home & on the other side is the main bedroom w/ a private bathroom and the secondary bedrooms & bathroom. An Arizona room sits just off the back patio leading to the backyard. Mature trees & established foliage surround the property.
3931 W Lincoln St,Phoenix,AZ,85009,33.442482,-112.14456,329900.0,FOR_SALE,2023-07-20,"WRITE AN OFFER!  Completely updated, remodeled modern home.  All work was permitted with the City of Phoenix to include interior remodel with additional square footage included (922 livable) (134 covered porch). New electrical panel and wiring, AC and heat with duct leakage test, roof and underlayment, windows, sheetrock, insulation, doors, cabinets, flooring, plumbing, tankless water heater, indoor laundry, countertops and paint.  Wifi is connected already.  ADT alarm installed and monitoring included until June of 2024. This 3 bedroom, 2 full bathrooms with a fenced front and backyard. Just received the Certificate of Occupancy from the City of Phoenix!!!!"
2427 W Devonshire Ave,Phoenix,AZ,85015,33.496525,-112.111694,335000.0,FOR_SALE,2023-07-20,"Welcome to this charming starter home located in Phoenix, full of potential! This cozy property offers a great opportunity for first-time homebuyers, or investors. This home provides a comfortable and affordable option for those looking to enter the housing market. 3 bedrooms and 1 bath with a very large back yard, RV Gate this home is perfect for those seeking a budget-friendly option in Phoenix.  Block fence all around.The back yard is a blank canvas presents an opportunity for you to create your hearts desire. With a little imagination and effort, you can transform this barren space into an inviting back yard. Whether you envision a vibrant garden, a tranquil patio, or a fun-filled play area, the possibilities are endless. Don't miss out on the chance to make this backyard your own"
4108 N 49th Ave,Phoenix,AZ,85031,33.49522,-112.16485,349900.0,FOR_SALE,2023-07-16,"MOVE IN READY remodeled home with ALL NEW everything in an excellent Phoenix location! 4-bed, 2-bath corner lot residence within walking distance of restaurants & shopping. Discover an open layout displaying vaulted ceilings, recessed lighting, & LVP flooring seamlessly connecting each space, creating a cohesive look. The kitchen is equipped w/ granite countertops, SS appliances, stylish white shaker cabinets, subway tile backsplash, a pantry provides, & a two-tier peninsula w/ a breakfast bar. The main bedroom features plush carpeting & a private bathroom for added convenience. Continue to the backyard offering a covered patio & vast space w/ endless potential. Make this home yours!"
